producto_id,fase,Q,r,costo_esperado,nivel_servicio
P001,grueso,9,7,29827689,17.1
P001,grueso,9,15,29827689,17.1
P001,grueso,9,24,29827689,17.1
P001,grueso,9,33,29827689,17.1
P001,grueso,9,41,29827689,17.1
P001,grueso,9,50,29827689,17.1
P001,grueso,9,59,29827689,17.1
P001,grueso,9,67,29827689,17.1
P001,grueso,27,7,18549667,49.2
P001,grueso,27,15,17866437,51.2
P001,grueso,27,24,17866437,51.2
P001,grueso,27,33,17866437,51.2
P001,grueso,27,41,17866437,51.2
P001,grueso,27,50,17866437,51.2
P001,grueso,27,59,17866437,51.2
P001,grueso,27,67,17866437,51.2
P001,grueso,45,7,15520317,59.0
P001,grueso,45,15,15337293,59.6
P001,grueso,45,24,11215146,71.5
P001,grueso,45,33,7739867,82.2
P001,grueso,45,41,7591185,82.7
P001,grueso,45,50,7591185,82.7
P001,grueso,45,59,7591185,82.7
P001,grueso,45,67,7591185,82.7
P001,grueso,64,7,13931955,65.3
P001,grueso,64,15,13576362,66.3
P001,grueso,64,24,9664126,78.0
P001,grueso,64,33,8825929,80.7
P001,grueso,64,41,8638595,82.5
P001,grueso,64,50,9061773,83.5
P001,grueso,64,59,9354654,83.5
P001,grueso,64,67,9972959,83.5
P001,grueso,82,7,15324262,62.2
P001,grueso,82,15,13428833,68.3
P001,grueso,82,24,10142452,78.9
P001,grueso,82,33,9906166,79.7
P001,grueso,82,41,9308406,83.2
P001,grueso,82,50,9412451,83.5
P001,grueso,82,59,10058722,83.5
P001,grueso,82,67,10736264,83.5
P001,grueso,100,7,12824235,71.9
P001,grueso,100,15,11662138,75.3
P001,grueso,100,24,11453997,75.9
P001,grueso,100,33,10463310,79.9
P001,grueso,100,41,9900466,83.3
P001,grueso,100,50,10335671,83.5
P001,grueso,100,59,11174654,83.5
P001,grueso,100,67,11494146,83.5
P001,grueso,119,7,13637141,72.4
P001,grueso,119,15,11928300,77.7
P001,grueso,119,24,11466786,79.1
P001,grueso,119,33,10532521,82.4
P001,grueso,119,41,10335489,83.5
P001,grueso,119,50,10582027,83.5
P001,grueso,119,59,11504781,83.5
P001,grueso,119,67,11928341,83.5
P001,grueso,137,7,13864144,74.3
P001,grueso,137,15,13143154,76.8
P001,grueso,137,24,12511716,78.8
P001,grueso,137,33,11430539,82.9
P001,grueso,137,41,11401747,83.3
P001,grueso,137,50,11928595,83.5
P001,grueso,137,59,12338849,83.5
P001,grueso,137,67,12540586,83.5
P001,fino,27,33,17866437,51.2
P001,fino,27,35,17866437,51.2
P001,fino,27,37,17866437,51.2
P001,fino,27,38,17866437,51.2
P001,fino,27,40,17866437,51.2
P001,fino,27,42,17866437,51.2
P001,fino,27,44,17866437,51.2
P001,fino,27,45,17866437,51.2
P001,fino,27,47,17866437,51.2
P001,fino,27,49,17866437,51.2
P001,fino,31,33,15316233,58.8
P001,fino,31,35,15316233,58.8
P001,fino,31,37,15316233,58.8
P001,fino,31,38,15316233,58.8
P001,fino,31,40,15316233,58.8
P001,fino,31,42,15316233,58.8
P001,fino,31,44,15316233,58.8
P001,fino,31,45,15316233,58.8
P001,fino,31,47,15316233,58.8
P001,fino,31,49,15316233,58.8
P001,fino,35,33,12766233,66.4
P001,fino,35,35,12766233,66.4
P001,fino,35,37,12766233,66.4
P001,fino,35,38,12766233,66.4
P001,fino,35,40,12766233,66.4
P001,fino,35,42,12766233,66.4
P001,fino,35,44,12766233,66.4
P001,fino,35,45,12766233,66.4
P001,fino,35,47,12766233,66.4
P001,fino,35,49,12766233,66.4
P001,fino,39,33,10220922,74.0
P001,fino,39,35,10220922,74.0
P001,fino,39,37,10220922,74.0
P001,fino,39,38,10220922,74.0
P001,fino,39,40,10220922,74.0
P001,fino,39,42,10220922,74.0
P001,fino,39,44,10220922,74.0
P001,fino,39,45,10220922,74.0
P001,fino,39,47,10220922,74.0
P001,fino,39,49,10220922,74.0
P001,fino,43,33,7992809,80.9
P001,fino,43,35,7992809,80.9
P001,fino,43,37,7992809,80.9
P001,fino,43,38,7992809,80.9
P001,fino,43,40,7992809,80.9
P001,fino,43,42,7992809,80.9
P001,fino,43,44,7992809,80.9
P001,fino,43,45,7992809,80.9
P001,fino,43,47,7992809,80.9
P001,fino,43,49,7992809,80.9
P001,fino,47,33,8248719,81.3
P001,fino,47,35,8035310,82.0
P001,fino,47,37,7873909,82.7
P001,fino,47,38,7827996,82.9
P001,fino,47,40,7802569,83.1
P001,fino,47,42,7774628,83.2
P001,fino,47,44,7781857,83.2
P001,fino,47,45,7781857,83.2
P001,fino,47,47,7781857,83.2
P001,fino,47,49,7781857,83.2
P001,fino,51,33,9053418,79.2
P001,fino,51,35,8671485,80.5
P001,fino,51,37,8279771,82.0
P001,fino,51,38,8223279,82.3
P001,fino,51,40,8120213,82.8
P001,fino,51,42,8079268,83.3
P001,fino,51,44,8137437,83.4
P001,fino,51,45,8157733,83.4
P001,fino,51,47,8237873,83.5
P001,fino,51,49,8309875,83.5
P001,fino,55,33,9326235,78.6
P001,fino,55,35,8599609,81.0
P001,fino,55,37,8273366,82.2
P001,fino,55,38,8258886,82.3
P001,fino,55,40,8145818,82.9
P001,fino,55,42,8145344,83.2
P001,fino,55,44,8204907,83.3
P001,fino,55,45,8284817,83.4
P001,fino,55,47,8399102,83.5
P001,fino,55,49,8575714,83.5
P001,fino,59,33,10261619,75.9
P001,fino,59,35,9737381,77.8
P001,fino,59,37,8711925,81.4
P001,fino,59,38,8541071,82.1
P001,fino,59,40,8303345,83.2
P001,fino,59,42,8283728,83.3
P001,fino,59,44,8353846,83.4
P001,fino,59,45,8376869,83.4
P001,fino,59,47,8478703,83.5
P001,fino,59,49,8594866,83.5
P001,fino,63,33,9090824,79.8
P001,fino,63,35,9079109,79.8
P001,fino,63,37,9043507,80.0
P001,fino,63,38,8990544,80.3
P001,fino,63,40,8692564,82.1
P001,fino,63,42,8728456,83.1
P001,fino,63,44,8811732,83.5
P001,fino,63,45,8849019,83.5
P001,fino,63,47,8873892,83.5
P001,fino,63,49,8897917,83.5
P002,grueso,13,6,9740797,27.1
P002,grueso,13,13,9740797,27.1
P002,grueso,13,21,9740797,27.1
P002,grueso,13,28,9740797,27.1
P002,grueso,13,35,9740797,27.1
P002,grueso,13,43,9740797,27.1
P002,grueso,13,50,9740797,27.1
P002,grueso,13,58,9740797,27.1
P002,grueso,41,6,5709933,59.5
P002,grueso,41,13,5691695,59.6
P002,grueso,41,21,4562127,68.9
P002,grueso,41,28,2964118,82.4
P002,grueso,41,35,2894969,83.1
P002,grueso,41,43,2894969,83.1
P002,grueso,41,50,2894969,83.1
P002,grueso,41,58,2894969,83.1
P002,grueso,68,6,5891908,59.9
P002,grueso,68,13,4325484,73.4
P002,grueso,68,21,4325484,73.4
P002,grueso,68,28,3696836,79.1
P002,grueso,68,35,3324966,82.7
P002,grueso,68,43,3420136,83.4
P002,grueso,68,50,3699691,83.4
P002,grueso,68,58,3896136,83.4
P002,grueso,96,6,4676352,73.2
P002,grueso,96,13,4515635,74.6
P002,grueso,96,21,3842922,80.0
P002,grueso,96,28,3842922,80.0
P002,grueso,96,35,3780952,81.9
P002,grueso,96,43,3883913,83.4
P002,grueso,96,50,3990580,83.4
P002,grueso,96,58,4422580,83.4
P002,grueso,124,6,5010733,75.1
P002,grueso,124,13,4853708,76.6
P002,grueso,124,21,4631939,78.6
P002,grueso,124,28,4192095,82.9
P002,grueso,124,35,4159734,83.4
P002,grueso,124,43,4301173,83.4
P002,grueso,124,50,4554024,83.4
P002,grueso,124,58,4567913,83.4
P002,grueso,151,6,5652090,71.8
P002,grueso,151,13,5118647,77.7
P002,grueso,151,21,4945534,79.7
P002,grueso,151,28,4866924,80.9
P002,grueso,151,35,4790019,83.3
P002,grueso,151,43,4826913,83.4
P002,grueso,151,50,5028247,83.4
P002,grueso,151,58,5279913,83.4
P002,grueso,179,6,5516965,74.7
P002,grueso,179,13,5516965,74.7
P002,grueso,179,21,5067292,80.9
P002,grueso,179,28,4971965,82.6
P002,grueso,179,35,4993831,82.8
P002,grueso,179,43,5302358,83.4
P002,grueso,179,50,5381913,83.4
P002,grueso,179,58,5600691,83.4
P002,grueso,207,6,5120811,83.4
P002,grueso,207,13,5143959,83.4
P002,grueso,207,21,5148588,83.4
P002,grueso,207,28,5148588,83.4
P002,grueso,207,35,5148588,83.4
P002,grueso,207,43,5251413,83.4
P002,grueso,207,50,5676913,83.4
P002,grueso,207,58,5768913,83.4
P002,fino,13,28,9740797,27.1
P002,fino,13,30,9740797,27.1
P002,fino,13,31,9740797,27.1
P002,fino,13,33,9740797,27.1
P002,fino,13,34,9740797,27.1
P002,fino,13,36,9740797,27.1
P002,fino,13,37,9740797,27.1
P002,fino,13,39,9740797,27.1
P002,fino,13,40,9740797,27.1
P002,fino,13,42,9740797,27.1
P002,fino,19,28,8123364,39.6
P002,fino,19,30,8123364,39.6
P002,fino,19,31,8123364,39.6
P002,fino,19,33,8123364,39.6
P002,fino,19,34,8123364,39.6
P002,fino,19,36,8123364,39.6
P002,fino,19,37,8123364,39.6
P002,fino,19,39,8123364,39.6
P002,fino,19,40,8123364,39.6
P002,fino,19,42,8123364,39.6
P002,fino,25,28,6576590,52.1
P002,fino,25,30,6576590,52.1
P002,fino,25,31,6576590,52.1
P002,fino,25,33,6576590,52.1
P002,fino,25,34,6576590,52.1
P002,fino,25,36,6576590,52.1
P002,fino,25,37,6576590,52.1
P002,fino,25,39,6576590,52.1
P002,fino,25,40,6576590,52.1
P002,fino,25,42,6576590,52.1
P002,fino,32,28,4791590,66.7
P002,fino,32,30,4791590,66.7
P002,fino,32,31,4791590,66.7
P002,fino,32,33,4791590,66.7
P002,fino,32,34,4791590,66.7
P002,fino,32,36,4791590,66.7
P002,fino,32,37,4791590,66.7
P002,fino,32,39,4791590,66.7
P002,fino,32,40,4791590,66.7
P002,fino,32,42,4791590,66.7
P002,fino,38,28,3273591,79.2
P002,fino,38,30,3273591,79.2
P002,fino,38,31,3273591,79.2
P002,fino,38,33,3273591,79.2
P002,fino,38,34,3273591,79.2
P002,fino,38,36,3273591,79.2
P002,fino,38,37,3273591,79.2
P002,fino,38,39,3273591,79.2
P002,fino,38,40,3273591,79.2
P002,fino,38,42,3273591,79.2
P002,fino,44,28,3473146,78.9
P002,fino,44,30,3365379,80.0
P002,fino,44,31,3315784,80.6
P002,fino,44,33,3185997,81.9
P002,fino,44,34,3152122,82.3
P002,fino,44,36,3092567,83.0
P002,fino,44,37,3085243,83.2
P002,fino,44,39,3086248,83.4
P002,fino,44,40,3086248,83.4
P002,fino,44,42,3099594,83.4
P002,fino,50,28,4271332,72.3
P002,fino,50,30,3547884,78.7
P002,fino,50,31,3342237,80.5
P002,fino,50,33,3152057,82.3
P002,fino,50,34,3147186,82.3
P002,fino,50,36,3132663,82.6
P002,fino,50,37,3129701,82.7
P002,fino,50,39,3132898,83.1
P002,fino,50,40,3170514,83.4
P002,fino,50,42,3226953,83.4
P002,fino,57,28,3440337,79.6
P002,fino,57,30,3440337,79.6
P002,fino,57,31,3440337,79.6
P002,fino,57,33,3437352,79.7
P002,fino,57,34,3432520,79.8
P002,fino,57,36,3374553,81.2
P002,fino,57,37,3339941,82.7
P002,fino,57,39,3353505,83.4
P002,fino,57,40,3362913,83.4
P002,fino,57,42,3362913,83.4
P002,fino,63,28,3389350,81.1
P002,fino,63,30,3279864,82.3
P002,fino,63,31,3246011,82.7
P002,fino,63,33,3213713,83.1
P002,fino,63,34,3213713,83.1
P002,fino,63,36,3209335,83.3
P002,fino,63,37,3203963,83.4
P002,fino,63,39,3203611,83.4
P002,fino,63,40,3206692,83.4
P002,fino,63,42,3248404,83.4
P002,fino,69,28,3814130,78.2
P002,fino,69,30,3478028,81.2
P002,fino,69,31,3405836,81.9
P002,fino,69,33,3358158,82.4
P002,fino,69,34,3347482,82.6
P002,fino,69,36,3333217,82.8
P002,fino,69,37,3328043,83.1
P002,fino,69,39,3340050,83.3
P002,fino,69,40,3348353,83.3
P002,fino,69,42,3369580,83.4
P004,grueso,54,10,1429145,46.8
P004,grueso,54,22,1148731,63.8
P004,grueso,54,35,1138622,64.3
P004,grueso,54,47,1138622,64.3
P004,grueso,54,60,1138622,64.3
P004,grueso,54,72,1138622,64.3
P004,grueso,54,85,1138622,64.3
P004,grueso,54,98,1138622,64.3
P004,grueso,170,10,891784,73.8
P004,grueso,170,22,893451,73.8
P004,grueso,170,35,792356,80.4
P004,grueso,170,47,780805,80.9
P004,grueso,170,60,779758,81.1
P004,grueso,170,72,813636,83.5
P004,grueso,170,85,815336,83.5
P004,grueso,170,98,864636,83.5
P004,grueso,285,10,1030474,75.5
P004,grueso,285,22,1022842,76.1
P004,grueso,285,35,1014547,76.7
P004,grueso,285,47,930135,82.9
P004,grueso,285,60,926037,83.4
P004,grueso,285,72,937408,83.4
P004,grueso,285,85,1008136,83.5
P004,grueso,285,98,1010986,83.5
P004,grueso,401,10,1049636,83.5
P004,grueso,401,22,1049636,83.5
P004,grueso,401,35,1051303,83.5
