fecha,producto_id,producto_nombre,categoria,region_bodega,inventario_inicial,inventario_final,costo_unitario,unidades_vendidas,unidades_compradas,unidades_devueltas
2023-01-01,P001,Laptop ProBook,Electronica,Norte,120,95,450000,30,5,0
2023-01-01,P002,Monitor 24",Electronica,Norte,80,65,180000,20,5,0
2023-01-01,P003,Teclado Inalambrico,Electronica,Centro,200,170,35000,35,5,0
2023-01-01,P004,Mouse Optico,Electronica,Centro,350,310,18000,45,5,0
2023-01-01,P005,Arroz Grano Largo,Alimentos,Sur,500,450,1200,60,10,0
2023-01-01,P006,Aceite Vegetal 1L,Alimentos,Sur,300,270,2800,38,8,0
2023-01-01,P007,Harina Sin Polvos,Alimentos,Centro,400,365,1500,42,7,0
2023-01-01,P008,Polera Algodon M,Textil,Norte,250,225,12000,30,5,0
2023-01-01,P009,Pantalon Jean 32,Textil,Norte,180,158,28000,25,3,0
2023-01-01,P010,Zapatilla Running,Textil,Sur,150,128,45000,25,3,0
2023-02-01,P001,Laptop ProBook,Electronica,Norte,95,72,450000,28,5,0
2023-02-01,P002,Monitor 24",Electronica,Norte,65,48,180000,22,5,0
2023-02-01,P003,Teclado Inalambrico,Electronica,Centro,170,138,35000,38,6,0
2023-02-01,P004,Mouse Optico,Electronica,Centro,310,268,18000,48,6,0
2023-02-01,P005,Arroz Grano Largo,Alimentos,Sur,450,398,1200,62,10,0
2023-02-01,P006,Aceite Vegetal 1L,Alimentos,Sur,270,235,2800,42,7,0
2023-02-01,P007,Harina Sin Polvos,Alimentos,Centro,365,328,1500,45,8,0
2023-02-01,P008,Polera Algodon M,Textil,Norte,225,198,12000,32,5,0
2023-02-01,P009,Pantalon Jean 32,Textil,Norte,158,135,28000,27,4,0
2023-02-01,P010,Zapatilla Running,Textil,Sur,128,105,45000,26,3,0
2023-03-01,P001,Laptop ProBook,Electronica,Norte,72,50,450000,25,3,0
2023-03-01,P002,Monitor 24",Electronica,Norte,48,32,180000,18,2,0
2023-03-01,P003,Teclado Inalambrico,Electronica,Centro,138,108,35000,32,2,0
2023-03-01,P004,Mouse Optico,Electronica,Centro,268,230,18000,42,4,0
2023-03-01,P005,Arroz Grano Largo,Alimentos,Sur,398,348,1200,58,8,0
2023-03-01,P006,Aceite Vegetal 1L,Alimentos,Sur,235,202,2800,38,5,0
2023-03-01,P007,Harina Sin Polvos,Alimentos,Centro,328,295,1500,40,7,0
2023-03-01,P008,Polera Algodon M,Textil,Norte,198,172,12000,28,2,0
2023-03-01,P009,Pantalon Jean 32,Textil,Norte,135,112,28000,24,1,0
2023-03-01,P010,Zapatilla Running,Textil,Sur,105,82,45000,24,1,0
2023-04-01,P001,Laptop ProBook,Electronica,Norte,50,28,450000,24,2,0
2023-04-01,P002,Monitor 24",Electronica,Norte,32,18,180000,16,2,0
2023-04-01,P003,Teclado Inalambrico,Electronica,Centro,108,80,35000,30,2,0
2023-04-01,P004,Mouse Optico,Electronica,Centro,230,192,18000,40,2,0
2023-04-01,P005,Arroz Grano Largo,Alimentos,Sur,348,300,1200,55,7,0
2023-04-01,P006,Aceite Vegetal 1L,Alimentos,Sur,202,170,2800,36,4,0
2023-04-01,P007,Harina Sin Polvos,Alimentos,Centro,295,262,1500,38,5,0
2023-04-01,P008,Polera Algodon M,Textil,Norte,172,148,12000,26,2,0
2023-04-01,P009,Pantalon Jean 32,Textil,Norte,112,90,28000,23,1,0
2023-04-01,P010,Zapatilla Running,Textil,Sur,82,60,45000,23,1,0
2023-05-01,P001,Laptop ProBook,Electronica,Norte,28,8,450000,22,2,0
2023-05-01,P002,Monitor 24",Electronica,Norte,18,5,180000,15,2,0
2023-05-01,P003,Teclado Inalambrico,Electronica,Centro,80,52,35000,30,2,0
2023-05-01,P004,Mouse Optico,Electronica,Centro,192,155,18000,39,2,0
2023-05-01,P005,Arroz Grano Largo,Alimentos,Sur,300,252,1200,55,7,0
2023-05-01,P006,Aceite Vegetal 1L,Alimentos,Sur,170,138,2800,35,3,0
2023-05-01,P007,Harina Sin Polvos,Alimentos,Centro,262,230,1500,36,4,0
2023-05-01,P008,Polera Algodon M,Textil,Norte,148,125,12000,25,2,0
2023-05-01,P009,Pantalon Jean 32,Textil,Norte,90,70,28000,21,1,0
2023-05-01,P010,Zapatilla Running,Textil,Sur,60,40,45000,21,1,0
2023-06-01,P001,Laptop ProBook,Electronica,Norte,8,0,450000,10,50,2
2023-06-01,P002,Monitor 24",Electronica,Norte,5,0,180000,8,50,3
2023-06-01,P003,Teclado Inalambrico,Electronica,Centro,52,25,35000,28,50,1
2023-06-01,P004,Mouse Optico,Electronica,Centro,155,120,18000,36,50,1
2023-06-01,P005,Arroz Grano Largo,Alimentos,Sur,252,205,1200,52,100,5
2023-06-01,P006,Aceite Vegetal 1L,Alimentos,Sur,138,108,2800,33,50,3
2023-06-01,P007,Harina Sin Polvos,Alimentos,Centro,230,200,1500,35,50,5
2023-06-01,P008,Polera Algodon M,Textil,Norte,125,100,12000,27,100,2
2023-06-01,P009,Pantalon Jean 32,Textil,Norte,70,50,28000,22,100,2
2023-06-01,P010,Zapatilla Running,Textil,Sur,40,20,45000,22,100,2
2023-07-01,P001,Laptop ProBook,Electronica,Norte,48,25,450000,26,3,0
2023-07-01,P002,Monitor 24",Electronica,Norte,42,22,180000,22,2,0
2023-07-01,P003,Teclado Inalambrico,Electronica,Centro,47,18,35000,30,1,0
2023-07-01,P004,Mouse Optico,Electronica,Centro,134,98,18000,38,2,0
2023-07-01,P005,Arroz Grano Largo,Alimentos,Sur,253,205,1200,53,5,0
2023-07-01,P006,Aceite Vegetal 1L,Alimentos,Sur,125,95,2800,32,2,0
