fecha,producto_id,producto_nombre,categoria,region_bodega,inventario_inicial,inventario_final,costo_unitario,unidades_vendidas,unidades_compradas,unidades_devueltas,comprobacion_inventario,inventario_promedio,inventario_promedio_valorizado,costo_ventas
2023-01-01,P001,Laptop ProBook,Electronica,Norte,120,95,450000,30,5,0,95,107.5,48375000.0,13500000
2023-01-01,P002,"Monitor 24""",Electronica,Norte,80,65,180000,20,5,0,65,72.5,13050000.0,3600000
2023-01-01,P003,Teclado Inalambrico,Electronica,Centro,200,170,35000,35,5,0,170,185.0,6475000.0,1225000
2023-01-01,P004,Mouse Optico,Electronica,Centro,350,310,18000,45,5,0,310,330.0,5940000.0,810000
2023-01-01,P005,Arroz Grano Largo,Alimentos,Sur,500,450,1200,60,10,0,450,475.0,570000.0,72000
2023-01-01,P006,Aceite Vegetal 1L,Alimentos,Sur,300,270,2800,38,8,0,270,285.0,798000.0,106400
2023-01-01,P007,Harina Sin Polvos,Alimentos,Centro,400,365,1500,42,7,0,365,382.5,573750.0,63000
2023-01-01,P008,Polera Algodon M,Textil,Norte,250,225,12000,30,5,0,225,237.5,2850000.0,360000
2023-01-01,P009,Pantalon Jean 32,Textil,Norte,180,158,28000,25,3,0,158,169.0,4732000.0,700000
2023-01-01,P010,Zapatilla Running,Textil,Sur,150,128,45000,25,3,0,128,139.0,6255000.0,1125000
2023-02-01,P001,Laptop ProBook,Electronica,Norte,95,72,450000,28,5,0,72,83.5,37575000.0,12600000
2023-02-01,P002,"Monitor 24""",Electronica,Norte,65,48,180000,22,5,0,48,56.5,10170000.0,3960000
2023-02-01,P003,Teclado Inalambrico,Electronica,Centro,170,138,35000,38,6,0,138,154.0,5390000.0,1330000
2023-02-01,P004,Mouse Optico,Electronica,Centro,310,268,18000,48,6,0,268,289.0,5202000.0,864000
2023-02-01,P005,Arroz Grano Largo,Alimentos,Sur,450,398,1200,62,10,0,398,424.0,508800.0,74400
2023-02-01,P006,Aceite Vegetal 1L,Alimentos,Sur,270,235,2800,42,7,0,235,252.5,707000.0,117600
2023-02-01,P007,Harina Sin Polvos,Alimentos,Centro,365,328,1500,45,8,0,328,346.5,519750.0,67500
2023-02-01,P008,Polera Algodon M,Textil,Norte,225,198,12000,32,5,0,198,211.5,2538000.0,384000
2023-02-01,P009,Pantalon Jean 32,Textil,Norte,158,135,28000,27,4,0,135,146.5,4102000.0,756000
2023-02-01,P010,Zapatilla Running,Textil,Sur,128,105,45000,26,3,0,105,116.5,5242500.0,1170000
2023-03-01,P001,Laptop ProBook,Electronica,Norte,72,50,450000,25,3,0,50,61.0,27450000.0,11250000
2023-03-01,P002,"Monitor 24""",Electronica,Norte,48,32,180000,18,2,0,32,40.0,7200000.0,3240000
2023-03-01,P003,Teclado Inalambrico,Electronica,Centro,138,108,35000,32,2,0,108,123.0,4305000.0,1120000
2023-03-01,P004,Mouse Optico,Electronica,Centro,268,230,18000,42,4,0,230,249.0,4482000.0,756000
2023-03-01,P005,Arroz Grano Largo,Alimentos,Sur,398,348,1200,58,8,0,348,373.0,447600.0,69600
2023-03-01,P006,Aceite Vegetal 1L,Alimentos,Sur,235,202,2800,38,5,0,202,218.5,611800.0,106400
2023-03-01,P007,Harina Sin Polvos,Alimentos,Centro,328,295,1500,40,7,0,295,311.5,467250.0,60000
2023-03-01,P008,Polera Algodon M,Textil,Norte,198,172,12000,28,2,0,172,185.0,2220000.0,336000
2023-03-01,P009,Pantalon Jean 32,Textil,Norte,135,112,28000,24,1,0,112,123.5,3458000.0,672000
2023-03-01,P010,Zapatilla Running,Textil,Sur,105,82,45000,24,1,0,82,93.5,4207500.0,1080000
