producto_id,monto_venta,porcentaje,porcentaje_ac,categoria_valor,valor
P004,10438578,0.24987619389587074,0.24987619389587074,A,Alto
P003,8632188,0.2066352603231598,0.4565114542190305,A,Alto
P001,5274243,0.12625357271095153,0.582765026929982,A,Alto
P002,4474992,0.10712129263913824,0.6898863195691203,A,Alto
P008,3004251,0.07191504488330341,0.7618013644524237,A,Alto
P009,2618293,0.06267607420706164,0.8244774386594854,B,Medio
P010,2562457,0.061339485338120885,0.8858169239976063,B,Medio
P005,2048448,0.04903526032315979,0.934852184320766,B,Medio
P007,1441899,0.03451583482944345,0.9693680191502094,C,Bajo
P006,1279651,0.030631980849790543,1.0,C,Bajo
